"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"152145735314440192","","","","","2011-12-28 21:55:44 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","My cow collapsed and now there's a human to animal infection outbreak among illegal immigrants."
"149124188681150464","","","148896542462455808","2529971","2011-12-20 13:49:11 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @cdixon: ""Desingineer"" -&gt; mythical person startups are looking for who can do UI, UX and also excellent front- and back-end coding."
"144564587621122048","","","144303619993382912","30923","2011-12-07 23:50:58 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @rands: A living creature put in a bag of holding will suffocate after about 10 minutes: http://t.co/YJf0Tm1K","http://j.mp/vtxxBY"
"144564544080064513","","","144258351528804352","30923","2011-12-07 23:50:47 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @rands: A good project code name is one word, has multiple layers of meaning, and just rolls off the tongue."
"142835204648738817","","","142100823697133569","123949508","2011-12-03 05:19:01 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @monkeyofdarknes: Petition has been drafted to impeach all senators who voted yes on #S1867 http://t.co/s2yLEs5y please RT! @EFF @joe ...","http://www.thepetitionsite.com/892/petition-to-impeach-all-senators-who-voted-for-us-is-a-battlefield-and-to-detain-us-citizens-without/"
