"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"199986088868188160","","21146468","","","2012-05-08 22:16:13 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@xkcd  RT @kwiens: TIL about Zorbing, ""the recreation or sport of rolling downhill in an orb."" http://t.co/o5WT7XCs Sounds AWESOME.","http://en.wikipedia.org/wiki/Zorbing"
"199697543515484160","199674610717962241","63485337","","","2012-05-08 03:09:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@notch ""a c style string"" is 12 chars (length plus one for null terminator)."
"199599925732970496","199575639420960768","5502392","","","2012-05-07 20:41:45 +0000","web","@mojombo @jasonlong @chacon Pretty awesome. Add hub support?"
"198908251230838784","198877950882488320","30923","","","2012-05-05 22:53:17 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@rands I still think Dark Knight was better, but Avengers is a close second."
"198907856928505856","198866059967729664","14246143","","","2012-05-05 22:51:43 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@rbates Excellent. I'll take a look tonight. Thank you."
"198845217888141312","198817735508115456","14246143","","","2012-05-05 18:42:48 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@rbates Yeah that would be pretty cool. $200 is a lot just to try something out."
"198816683039784960","198811311096860672","14246143","","","2012-05-05 16:49:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@rbates Thanks, but I actually meant RubyMotion. Some of the replies to your tweet earlier mentioned trying the REPL."
"198567673523732480","","","198472859138539520","14246143","2012-05-05 00:19:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @rbates: Is it just me or does Amazon EC2 feel sluggish compared to a Linode VPS for Rails hosting?"
"198567466295767041","198461607423123456","14246143","","","2012-05-05 00:19:07 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@rbates Is there a trial for this?"
"198567386314579968","198461607423123456","14246143","","","2012-05-05 00:18:48 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@rbates Railscast time?"
"197918332861685761","197898589253537793","262498249","","","2012-05-03 05:19:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@goldenricetiff nope. Yup. Nope. Thanks anyhow."
"197894690991910914","","","","","2012-05-03 03:45:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","I am loathe to admit it, but this is a large portion of my day: http://t.co/DRkSADFs","http://nedroid.com/2012/05/honk-the-databus/"
"197727273032486912","197724630105063424","30923","","","2012-05-02 16:40:30 +0000","web","@rands Have you had any experience with code editors (specifically, can you recommend one)?"
